gvkey,companyname
001239,ALBERTO-CULVER CO
001240,ALBERTSON'S INC
001241,ALBION INTL RESOURCES INC
001242,ALBUQUERQUE WESTN SOLAR INDS
001243,ALCAN INC
001244,ALCIDE CORP
001245,AMERISOURCE CORP
001246,IKON OFFICE SOLUTIONS
001247,ALCOLAC INC
001249,ALDEBARAN DRILLING CO INC
001250,ALDEN ELECTRONICS INC
001251,ALDON INDUSTRIES INC
001253,ALEXANDER & ALEXANDER
001254,MATSON INC
001255,ALEXANDER ENERGY CORP
001257,ALEXANDER'S INC
001258,CAPCO ENERGY INC
001259,TAMIR BIOTHECHNOLOGY INC
001260,ADRIEN ARPEL INC
001261,ALGERAN INC
001262,ALGOMA CENTRAL CORP
001263,ALGOMA STEEL GROUP INC
001264,ALGOREX CORP
001265,AMERICAN EAGLE RESOURCES INC
001266,ALICO INC
001268,ALL AMERICAN BURGER INC
001269,ALL AMERICAN GOURMET CO
001270,ALL AMERICAN INDUSTRIES INC
001271,ALL SEASONS RESORTS INC
001272,PETRO USA INC
001274,ALLEGHANY CORP
001275,ALLEGHENY & WESTERN ENER-OLD
001276,ALLEGHENY & WESTERN RAILWAY
001277,ALLECO INC
001278,SUNBEAM CORPORATION
001279,ALLEGHENY ENERGY INC
001281,ALLEN TELECOM INC
001283,ALLEN ORGAN CO  -CL B
001285,ALLIANCE TIRE &RUBBER  -CL A
001286,ALLIANCE NORTHWEST INDS INC
001290,ALLIED BANCSHARES INC-TX
001292,ALLIED FARM EQUIPMENT  -CL A
001293,ALLIED FOODS INC
001294,ALLIED MAINTENANCE
001296,ALLIED NURSING CARE INC
001297,ALLIED PRODUCTS
001299,ALLIED SECURITY INC-OLD
001300,HONEYWELL INTERNATIONAL INC
001301,ALLIED STORES
001302,ALLIED SUPERMARKETS
001304,ALLIED TELEPHONE
001306,ALLIED VAN LINES INC
001307,ALLIS-CHALMERS CREDIT CORP
001308,ALLIS-CHALMERS ENERGY INC
001310,ALLISTER CORP
001311,ALC COMMUNICATIONS INC
001312,ALLOY METAL PRODUCTS INC
001314,ALLRIGHT AUTO PARKS INC
001315,ALLY & GARGANO INC
001316,ALLSTATE FINANCIAL CORP
001318,ALLTEL CORP
001319,ALLYN & BACON INC
001322,ALMY STORES INC
001324,SCHERER HEALTHCARE INC
001325,ALOHA INC
001326,ALPEX COMPUTER CORP
001327,SKYWORKS SOLUTIONS INC
001328,ALPHA SOLARCO INC
001329,ALPHANUMERIC INC
001330,ALPHATYPE CORP
001331,ALPINE GROUP INC
001332,ASIA SUPERNET CORP
001333,ALPHA PETROLEUM EXPLORATION
001334,NQL INC
001335,ALLTEL NEW YORK INC
001336,ALLTEL PENNSYLVANIA INC
001337,ALLTEL ILLINOIS INC
001338,ALTA ENERGY CORP-OLD
001341,ALTAIR CORP-DEL
001342,ALTAIR CORP-PUERTO RICO
001343,ALTAMIL CORP
001344,ALTEC CORP
